文件名,坐标,船数量
409,0.876953125 0.880859375 0.11328125 0.11328125,1
411,0.951171875 0.751953125 0.08984375 0.11328125,1
414,0.263671875 0.13671875 0.14453125 0.1171875,1
418,0.076171875 0.71875 0.10546875 0.0859375,1
420,0.419921875 0.916015625 0.13671875 0.14453125,1
421,0.875 0.384765625 0.125 0.12109375,1
426,0.419921875 0.41796875 0.14453125 0.1484375,1
427,0.62890625 0.783203125 0.1328125 0.12109375,1
428,0.12890625 0.7890625 0.140625 0.1171875,1
431,0.1328125 0.2890625 0.140625 0.125,1
433,0.18359375 0.59375 0.1328125 0.1015625,1
435,0.162109375 0.74609375 0.09765625 0.0859375,1
436,0.68359375 0.09765625 0.1328125 0.1015625,1
439,0.359375 0.9375 0.1484375 0.1171875,1
441,0.1640625 0.24609375 0.1015625 0.0859375,1
442,0.916015625 0.537109375 0.15234375 0.11328125,1
443,0.419921875 0.541015625 0.16015625 0.11328125,1
444,0.77734375 0.529296875 0.1328125 0.15234375,1
445,0.27734375 0.533203125 0.1328125 0.15234375,1
447,0.400390625 0.91796875 0.16015625 0.125,1
448,0.861328125 0.451171875 0.15234375 0.13671875,1
449,0.365234375 0.44921875 0.16015625 0.140625,1
451,0.419921875 0.048828125 0.16015625 0.09765625,1
452,0.78515625 0.0546875 0.140625 0.109375,1
454,0.8984375 0.419921875 0.1484375 0.12890625,1
455,0.396484375 0.419921875 0.15234375 0.12890625,1
457,0.89453125 0.498046875 0.1328125 0.12109375,1
458,0.400390625 0.501953125 0.13671875 0.11328125,1
459,0.541015625 0.677734375 0.15234375 0.11328125,1
460,0.9140625 0.35546875 0.1015625 0.203125,1
462,0.54296875 0.18359375 0.15625 0.109375,1
463,0.0546875 0.17578125 0.109375 0.1015625,1
465,0.4296875 0.572265625 0.140625 0.10546875,1
466,0.87109375 0.748046875 0.1484375 0.12890625,1
468,0.662109375 0.939453125 0.15234375 0.11328125,1
469,0.166015625 0.9375 0.15234375 0.109375,1
470,0.912109375 0.828125 0.15234375 0.1484375,1
471,0.4140625 0.8359375 0.1640625 0.140625,1
473,0.453125 0.833984375 0.1328125 0.12109375,1
475,0.275390625 0.83203125 0.10546875 0.0859375,1
478,0.87109375 0.251953125 0.15625 0.13671875,1
480,0.640625 0.728515625 0.140625 0.11328125,1
481,0.138671875 0.728515625 0.14453125 0.11328125,1
482,0.658203125 0.44140625 0.16015625 0.125,1
483,0.15625 0.44140625 0.1484375 0.1171875,1
484,0.9140625 0.337890625 0.15625 0.12890625,1
487,0.45703125 0.330078125 0.1328125 0.11328125,1
488,0.779296875 0.333984375 0.11328125 0.07421875,1
490,0.138671875 0.2265625 0.15234375 0.1015625,1
491,0.859375 0.732421875 0.1640625 0.10546875,1
493,0.80859375 0.8828125 0.140625 0.09375,1
494,0.30859375 0.884765625 0.1484375 0.08984375,1
498,0.8046875 0.38671875 0.140625 0.0859375,1
499,0.3046875 0.38671875 0.1484375 0.0859375,1
500,0.939453125 0.765625 0.11328125 0.1015625,1
502,0.6640625 0.64453125 0.140625 0.0859375,1
503,0.162109375 0.642578125 0.13671875 0.08984375,1
504,0.568359375 0.541015625 0.12890625 0.11328125,1
507,0.06640625 0.44921875 0.1171875 0.1015625,1
509,0.443359375 0.267578125 0.11328125 0.10546875,1
511,0.162109375 0.146484375 0.15234375 0.08203125,1
514,0.419921875 0.822265625 0.16015625 0.11328125,1
516,0.7734375 0.744140625 0.15625 0.13671875,1
517,0.279296875 0.744140625 0.15234375 0.13671875,1
518,0.884765625 0.921875 0.16015625 0.1328125,1
519,0.3828125 0.921875 0.15625 0.1328125,1
521,0.71484375 0.97265625 0.125 0.046875,1
524,0.484375 0.4453125 0.15625 0.125,1
525,0.9140625 0.326171875 0.1640625 0.12890625,1
526,0.41796875 0.326171875 0.171875 0.12890625,1
528,0.275390625 0.2421875 0.15234375 0.140625,1
529,0.38671875 0.42578125 0.1640625 0.140625,1
530,0.466796875 0.615234375 0.13671875 0.15234375,1
531,0.197265625 0.8515625 0.10546875 0.09375,1
535,0.548828125 0.3515625 0.16015625 0.109375,1
536,0.068359375 0.357421875 0.13671875 0.10546875,1
537,0.525390625 0.951171875 0.11328125 0.08984375,1
538,0.044921875 0.947265625 0.08984375 0.08984375,1
542,0.341796875 0.955078125 0.15234375 0.08203125,1
543,0.923828125 0.953125 0.14453125 0.078125,1
544,0.42578125 0.955078125 0.140625 0.08203125;0.951171875 0.11328125 0.08984375 0.140625,2
546,0.1953125 0.35546875 0.1015625 0.09375,1
548,0.048828125 0.44921875 0.09765625 0.09375,1
549,0.478515625 0.93359375 0.14453125 0.125,1
551,0.65625 0.79296875 0.1328125 0.1328125,1
552,0.15625 0.79296875 0.140625 0.1328125,1
554,0.400390625 0.966796875 0.16015625 0.05859375,1
555,0.2421875 0.578125 0.15625 0.125,1
556,0.638671875 0.96484375 0.11328125 0.0625,1
559,0.341796875 0.462890625 0.14453125 0.09765625,1
560,0.927734375 0.47265625 0.13671875 0.109375,1
561,0.4296875 0.46875 0.140625 0.1171875,1
563,0.658203125 0.298828125 0.12890625 0.13671875,1
564,0.158203125 0.294921875 0.14453125 0.13671875,1
571,0.93359375 0.935546875 0.125 0.10546875,1
574,0.189453125 0.853515625 0.15234375 0.09765625,1
576,0.048828125 0.04296875 0.09765625 0.0703125,1
577,0.626953125 0.48828125 0.09765625 0.1015625,1
580,0.47265625 0.544921875 0.109375 0.08984375,1
581,0.525390625 0.615234375 0.13671875 0.12890625,1
583,0.736328125 0.87109375 0.12109375 0.1484375,1
584,0.234375 0.876953125 0.125 0.13671875,1
585,0.52734375 0.1171875 0.1328125 0.125,1
586,0.349609375 0.419921875 0.08203125 0.12109375;0.392578125 0.806640625 0.10546875 0.05859375;0.921875 0.640625 0.09375 0.1484375,3
588,0.943359375 0.90625 0.10546875 0.15625,1
590,0.740234375 0.375 0.12109375 0.1328125,1
591,0.23828125 0.375 0.1171875 0.140625,1
593,0.376953125 0.951171875 0.12109375 0.08984375;0.890625 0.3046875 0.1015625 0.0546875,2
597,0.9453125 0.400390625 0.1015625 0.15234375,1
600,0.25390625 0.951171875 0.15625 0.08984375,1
603,0.931640625 0.615234375 0.07421875 0.05859375,1
606,0.4453125 0.931640625 0.078125 0.12890625,1
607,0.66796875 0.642578125 0.125 0.23828125,1
608,0.169921875 0.63671875 0.13671875 0.21875,1
613,0.8046875 0.228515625 0.0546875 0.09765625,1
619,0.9375 0.408203125 0.0625 0.08984375,1
620,0.439453125 0.408203125 0.07421875 0.08203125,1
622,0.376953125 0.654296875 0.28515625 0.17578125,1
623,0.884765625 0.556640625 0.12109375 0.08203125,1
624,0.388671875 0.556640625 0.12109375 0.08984375,1
627,0.900390625 0.052734375 0.14453125 0.06640625,1
629,0.767578125 0.751953125 0.09765625 0.08984375,1
630,0.271484375 0.74609375 0.10546875 0.09375,1
631,0.962890625 0.5546875 0.06640625 0.0625,1
632,0.462890625 0.55078125 0.07421875 0.0546875,1
633,0.779296875 0.259765625 0.11328125 0.10546875,1
634,0.2734375 0.251953125 0.109375 0.09765625,1
637,0.5 0.8046875 0.0859375 0.09375,1
638,0.50390625 0.3046875 0.0859375 0.1015625,1
639,0.873046875 0.701171875 0.06640625 0.05078125,1
642,0.375 0.201171875 0.0703125 0.05078125,1
643,0.6953125 0.533203125 0.0546875 0.06640625;0.931640625 0.48828125 0.07421875 0.0625;0.9609375 0.33984375 0.0703125 0.078125,3
647,0.693359375 0.033203125 0.05859375 0.05859375,1
651,0.673828125 0.822265625 0.08203125 0.06640625,1
657,0.951171875 0.04296875 0.06640625 0.0546875;0.568359375 0.19921875 0.08984375 0.0546875;0.74609375 0.236328125 0.1015625 0.06640625,3
659,0.87109375 0.064453125 0.0859375 0.12890625,1
661,0.84375 0.90625 0.0546875 0.0859375;0.51171875 0.94140625 0.078125 0.0625;0.1796875 0.59375 0.078125 0.0703125,3
662,0.341796875 0.90625 0.04296875 0.078125,1
663,0.86328125 0.421875 0.0703125 0.0625,1
665,0.35546875 0.724609375 0.078125 0.05859375,1
666,0.79296875 0.17578125 0.0546875 0.0703125;0.978515625 0.154296875 0.03515625 0.05859375,2
667,0.19921875 0.0390625 0.0703125 0.078125,1
668,0.3515625 0.220703125 0.078125 0.05859375,1
669,0.705078125 0.55078125 0.15234375 0.1328125,1
672,0.41015625 0.662109375 0.1328125 0.11328125,1
674,0.88671875 0.86328125 0.140625 0.1015625,1
677,0.263671875 0.373046875 0.14453125 0.08203125,1
678,0.814453125 0.56640625 0.10546875 0.078125,1
680,0.93359375 0.26953125 0.125 0.1328125,1
685,0.23828125 0.45703125 0.15625 0.125,1
688,0.849609375 0.34765625 0.10546875 0.078125,1
693,0.41015625 0.158203125 0.125 0.12109375,1
694,0.5078125 0.435546875 0.125 0.12109375,1
696,0.3984375 0.822265625 0.1328125 0.11328125,1
699,0.888671875 0.361328125 0.13671875 0.11328125,1
701,0.9453125 0.58984375 0.1015625 0.09375,1
702,0.453125 0.587890625 0.1171875 0.10546875,1
703,0.53515625 0.62890625 0.1328125 0.0859375,1
704,0.0546875 0.63671875 0.109375 0.09375,1
711,0.751953125 0.728515625 0.09765625 0.10546875,1
712,0.255859375 0.728515625 0.09765625 0.11328125,1
714,0.400390625 0.3203125 0.12890625 0.1171875,1
715,0.25390625 0.46484375 0.140625 0.109375,1
718,0.05078125 0.13671875 0.1015625 0.0859375,1
719,0.630859375 0.384765625 0.12109375 0.08203125,1
720,0.1328125 0.384765625 0.1171875 0.08203125,1
723,0.609375 0.64453125 0.1484375 0.1015625,1
724,0.111328125 0.64453125 0.15234375 0.1015625,1
725,0.728515625 0.109375 0.10546875 0.109375,1
726,0.228515625 0.111328125 0.10546875 0.10546875,1
730,0.388671875 0.8046875 0.16796875 0.140625,1
732,0.2734375 0.8046875 0.125 0.0859375,1
734,0.064453125 0.26171875 0.11328125 0.078125,1
735,0.607421875 0.14453125 0.14453125 0.1015625,1
736,0.109375 0.146484375 0.1484375 0.09765625,1
738,0.064453125 0.8984375 0.12890625 0.1328125,1
739,0.859375 0.740234375 0.1015625 0.10546875,1
741,0.890625 0.3046875 0.15625 0.140625,1
742,0.392578125 0.302734375 0.16015625 0.14453125,1
743,0.57421875 0.767578125 0.140625 0.11328125,1
745,0.83203125 0.7421875 0.125 0.125,1
747,0.85546875 0.716796875 0.1328125 0.09765625,1
750,0.271484375 0.298828125 0.13671875 0.10546875,1
751,0.546875 0.576171875 0.109375 0.07421875,1
752,0.056640625 0.578125 0.11328125 0.078125,1
754,0.23828125 0.748046875 0.125 0.06640625,1
755,0.91796875 0.619140625 0.109375 0.05078125,1
757,0.55859375 0.392578125 0.1328125 0.12890625,1
762,0.17578125 0.900390625 0.0859375 0.06640625,1
764,0.07421875 0.267578125 0.1328125 0.10546875,1
765,0.830078125 0.2421875 0.12109375 0.1328125,1
767,0.89453125 0.76953125 0.125 0.125,1
768,0.392578125 0.763671875 0.12890625 0.12109375,1
772,0.548828125 0.078125 0.11328125 0.078125,1
773,0.0546875 0.078125 0.109375 0.078125,1
776,0.419921875 0.119140625 0.11328125 0.05078125,1
777,0.71875 0.87890625 0.1171875 0.125,1
778,0.216796875 0.873046875 0.12109375 0.12109375,1
782,0.177734375 0.396484375 0.08203125 0.07421875,1
783,0.48046875 0.75 0.125 0.1171875,1
784,0.892578125 0.271484375 0.12890625 0.12109375,1
785,0.39453125 0.267578125 0.1328125 0.13671875,1
790,0.474609375 0.935546875 0.12109375 0.07421875,1
791,0.53515625 0.50390625 0.125 0.109375,1
792,0.048828125 0.505859375 0.09765625 0.08984375,1
794,0.216796875 0.37890625 0.12890625 0.125,1
797,0.666015625 0.953125 0.08984375 0.0625,1
799,0.48046875 0.25 0.125 0.125,1
800,0.759765625 0.77734375 0.12109375 0.109375,1
802,0.166015625 0.421875 0.12890625 0.125,1
804,0.4765625 0.4375 0.125 0.078125,1
806,0.24609375 0.806640625 0.1171875 0.10546875,1
807,0.87109375 0.91796875 0.109375 0.09375,1
808,0.373046875 0.921875 0.11328125 0.09375,1
809,0.666015625 0.453125 0.08984375 0.0625,1
810,0.1640625 0.451171875 0.09375 0.06640625,1
812,0.17578125 0.810546875 0.1171875 0.12890625,1
815,0.623046875 0.658203125 0.15234375 0.12890625,1
820,0.25 0.3046875 0.125 0.109375,1
821,0.873046875 0.419921875 0.10546875 0.09765625,1
825,0.1796875 0.3125 0.125 0.125,1
827,0.056640625 0.923828125 0.11328125 0.14453125,1
831,0.703125 0.416015625 0.140625 0.08203125,1
832,0.205078125 0.416015625 0.14453125 0.08984375,1
835,0.853515625 0.900390625 0.10546875 0.10546875,1
836,0.349609375 0.90234375 0.10546875 0.109375,1
837,0.478515625 0.0390625 0.10546875 0.078125,1
838,0.541015625 0.4296875 0.15234375 0.140625,1
839,0.0625 0.427734375 0.125 0.14453125,1
841,0.78515625 0.34375 0.1328125 0.125,1
843,0.65625 0.591796875 0.1015625 0.08984375,1
846,0.388671875 0.57421875 0.14453125 0.1171875,1
847,0.5546875 0.6796875 0.15625 0.1015625,1
848,0.068359375 0.677734375 0.13671875 0.10546875,1
849,0.6328125 0.30078125 0.1015625 0.1171875,1
851,0.85546875 0.400390625 0.1015625 0.11328125,1
852,0.35546875 0.3984375 0.1015625 0.1171875,1
853,0.673828125 0.66796875 0.09765625 0.109375,1
854,0.173828125 0.669921875 0.09765625 0.10546875,1
855,0.7109375 0.244140625 0.140625 0.11328125,1
858,0.435546875 0.75 0.16015625 0.109375,1
859,0.880859375 0.900390625 0.13671875 0.09765625,1
860,0.3828125 0.900390625 0.140625 0.08984375,1
861,0.890625 0.072265625 0.1328125 0.11328125,1
862,0.388671875 0.07421875 0.14453125 0.1171875,1
865,0.552734375 0.18359375 0.14453125 0.109375,1
866,0.064453125 0.18359375 0.12890625 0.1015625,1
867,0.708984375 0.8828125 0.08984375 0.1328125,1
868,0.205078125 0.876953125 0.09765625 0.13671875,1
871,0.708984375 0.712890625 0.12890625 0.12890625,1
872,0.20703125 0.708984375 0.1328125 0.13671875,1
873,0.888671875 0.650390625 0.12109375 0.12109375,1
876,0.302734375 0.939453125 0.12890625 0.11328125,1
878,0.544921875 0.224609375 0.08984375 0.06640625,1
882,0.482421875 0.52734375 0.15234375 0.1328125,1
883,0.705078125 0.208984375 0.12890625 0.12109375,1
886,0.4375 0.955078125 0.1171875 0.08203125,1
888,0.390625 0.1484375 0.125 0.1171875,1
891,0.537109375 0.470703125 0.12890625 0.12890625,1
892,0.052734375 0.470703125 0.10546875 0.12890625,1
898,0.453125 0.080078125 0.0703125 0.07421875,1
899,0.57421875 0.93359375 0.109375 0.0625,1
900,0.072265625 0.935546875 0.11328125 0.06640625,1
902,0.935546875 0.4765625 0.12109375 0.140625,1
903,0.447265625 0.4765625 0.12890625 0.140625,1
904,0.7265625 0.51953125 0.0703125 0.0703125,1
907,0.310546875 0.669921875 0.07421875 0.04296875,1
908,0.796875 0.078125 0.0625 0.0390625,1
